Thomas
---------------  Mardi 21 Mai  ---------------

Moi#14:16 :    #Oui, beaucoup, le projet est passionnant, j’y passe presque toutes mes journées.
Thomas#14:17 :    #Bon, maintenant que je sais que tu es un ami de confiance, j’ai besoin de ton aide.
Moi#14:17 :    #Dis moi ?
Thomas#14:20 :    #Je pense que mon ordinateur s’est fait pirater j’ai téléchargé un truc chelou sur un site de vidéos et depuis je ne peux plus m’en servir, j’ai besoin d’un autre ordinateur pour changer mes mots de passes, tu pense que je pourrais passer chez toi pour faire ça ?
Moi#14:21 :    #Pas de problèmes, passe quand tu veux !
Thomas#14:21 :    #Merci, tu me sauves !

---------------  Vendredi 29 Juin  ---------------

Thomas#17:17 :    #J’ai remarqué que tu prenais moins part aux activités du groupe, tout va bien Pierre ?
Moi#17:29 :    #Oui oui, j’ai quelques soucis extérieurs.
Thomas#17:30 :    #Tu sais que le monde extérieur est corrompu, tu ne devrai pas te soucier des ces choses la, ce qui compte le plus, c’est le groupe, et moi...
Moi#17:56 :    #Je sais... je me remet vite au travail c’est promis.
Thomas#17:57 :    #Bien, voyons nous jeudi, autour d’un café pour discuter d’un nouveau projet, c’est assez important.
Moi#18:45 :    #D’accord, ou et quand ?
Thomas#18:45 :    #14 rue du Boulouris, au café, 23h
